Draw Date,Regular Numbers,,,,,,Bonus
3rd June 2009,5,6,14,30,38,39,34
30th May 2009,1,7,19,21,39,45,42
27th May 2009,3,4,24,26,29,49,13
23rd May 2009,7,8,15,24,27,32,34
20th May 2009,4,22,26,29,39,48,31
16th May 2009,16,17,23,27,30,45,39
13th May 2009,6,10,24,28,31,46,25
9th May 2009,14,19,23,31,34,39,24
6th May 2009,1,4,9,20,30,44,18
2nd May 2009,8,15,17,22,30,40,11
29th April 2009,8,20,22,29,33,49,48
25th April 2009,1,11,17,29,31,46,35
22nd April 2009,10,12,21,38,41,42,28
18th April 2009,4,5,21,33,42,47,24
15th April 2009,6,13,23,34,41,43,27
11th April 2009,5,6,7,11,17,34,48
8th April 2009,2,5,13,24,35,43,18
4th April 2009,17,20,22,37,40,48,33
1st April 2009,4,6,24,32,46,48,8
28th March 2009,6,10,33,39,40,48,43
25th March 2009,9,16,34,42,44,48,13
18th March 2009,11,27,29,33,34,44,36
14th March 2009,4,11,13,16,41,45,35
11th March 2009,2,18,20,23,24,48,30
7th March 2009,8,12,14,22,29,49,11
4th March 2009,7,15,23,25,27,40,43
28th February 2009,2,8,26,46,48,49,34
25th February 2009,5,11,26,31,36,39,4
21st February 2009,11,20,33,34,37,39,22
18th February 2009,11,17,34,37,41,49,5
14th February 2009,16,25,29,37,45,49,20
11th February 2009,1,6,17,19,41,42,31
7th February 2009,14,20,24,30,34,37,31
4th February 2009,15,16,22,31,43,44,32
31st January 2009,14,15,20,28,34,39,41
28th January 2009,1,6,20,22,24,46,36
24th January 2009,9,13,20,29,45,46,5
21st January 2009,8,32,34,39,43,48,25
17th January 2009,8,12,20,28,39,47,10
14th January 2009,20,35,36,37,39,49,38
10th January 2009,11,17,18,25,27,34,19
7th January 2009,10,13,19,35,39,41,4
3rd January 2009,4,13,17,25,36,48,28
